city_slug,neighborhood_slug,area,total_ads,amenity_ads
mashhad,elahiyehblvd,mashhad / elahiyehblvd,6466,3616.0
tehran,poonak,tehran / poonak,4855,3032.0
mashhad,ghasemabad,mashhad / ghasemabad,4630,2613.0
tehran,saadat-abad,tehran / saadat-abad,3812,2147.0
tehran,jeyhoun,tehran / jeyhoun,3068,2007.0
karaj,gohardasht,karaj / gohardasht,3094,1913.0
tehran,west-tehranpars,tehran / west-tehranpars,3155,1789.0
tehran,sarsabil,tehran / sarsabil,2753,1778.0
karaj,andishehnewcity,karaj / andishehnewcity,2621,1657.0
tehran,chitgar-lake,tehran / chitgar-lake,2633,1495.0
tehran,sazamn-barnameh,tehran / sazamn-barnameh,2249,1483.0
tehran,south-janat-abad,tehran / south-janat-abad,2212,1476.0
karaj,marlik,karaj / marlik,2667,1452.0
karaj,baghestan,karaj / baghestan,2283,1437.0
karaj,azimieh,karaj / azimieh,2333,1421.0
