city_slug,neighborhood_slug,area,total_ads,amenity_ads
mashhad,elahiyehblvd,mashhad / elahiyehblvd,6466,5153.0
tehran,poonak,tehran / poonak,4855,3491.0
tehran,saadat-abad,tehran / saadat-abad,3812,3324.0
tehran,chitgar-lake,tehran / chitgar-lake,2633,2494.0
karaj,gohardasht,karaj / gohardasht,3094,2298.0
tehran,west-tehranpars,tehran / west-tehranpars,3155,2206.0
mashhad,ghasemabad,mashhad / ghasemabad,4630,2083.0
qom,pardisan-ghom,qom / pardisan-ghom,3164,2063.0
tehran,niavaran,tehran / niavaran,2288,1994.0
tehran,kooy-e-ferdos,tehran / kooy-e-ferdos,2343,1921.0
tehran,sazamn-barnameh,tehran / sazamn-barnameh,2249,1880.0
tehran,zafaraniyeh,tehran / zafaraniyeh,2086,1863.0
karaj,baghestan,karaj / baghestan,2283,1758.0
tehran,elahiyeh,tehran / elahiyeh,1960,1738.0
karaj,azimieh,karaj / azimieh,2333,1687.0
