city_slug,city_class,city_group
karaj,کلان‌شهر,metro
tehran,کلان‌شهر,metro
mashhad,کلان‌شهر,metro
ahvaz,کلان‌شهر,metro
kermanshah,کلان‌شهر,metro
mahdasht-city,شهر کوچک,small_or_village
pardis-city,شهر کوچک,small_or_village
foolad-shahr,شهر کوچک,small_or_village
rasht,شهر کوچک,small_or_village
mahabad,شهر کوچک,small_or_village
shiraz,کلان‌شهر,metro
gonabad,شهر کوچک,small_or_village
azna,شهر کوچک,small_or_village
andisheh-new-town,شهر کوچک,small_or_village
chamestan,شهر کوچک,small_or_village
babol,شهر کوچک,small_or_village
arak,شهر کوچک,small_or_village
pishva,شهر کوچک,small_or_village
tabriz,کلان‌شهر,metro
urmia,شهر کوچک,small_or_village
nur,شهر کوچک,small_or_village
kish,شهر کوچک,small_or_village
nasimshahr,شهر کوچک,small_or_village
amol,شهر کوچک,small_or_village
yasuj,شهر کوچک,small_or_village
isfahan,کلان‌شهر,metro
ilam,شهر کوچک,small_or_village
najafabad,شهر کوچک,small_or_village
yazd,شهر کوچک,small_or_village
pakdasht-city,شهر کوچک,small_or_village
bandar-ganaveh,شهر کوچک,small_or_village
chalus,شهر کوچک,small_or_village
sabzevar,شهر کوچک,small_or_village
eslamshahr,شهر کوچک,small_or_village
dezful,شهر کوچک,small_or_village
mohammadieh,شهر کوچک,small_or_village
lavasan-city,شهر کوچک,small_or_village
sirjan,شهر کوچک,small_or_village
kordkuy,شهر کوچک,small_or_village
hamedan,شهر کوچک,small_or_village
qods-city,شهر کوچک,small_or_village
shandiz-city,شهر کوچک,small_or_village
mahmudabad,شهر کوچک,small_or_village
aran-va-bidgol,شهر کوچک,small_or_village
bandar-abbas,شهر کوچک,small_or_village
bandar-kangan,شهر کوچک,small_or_village
kiashahr,شهر کوچک,small_or_village
izadshahr,شهر کوچک,small_or_village
bushehr,شهر کوچک,small_or_village
tuyserkan,شهر کوچک,small_or_village
khoram-abad,شهر کوچک,small_or_village
qazvin,شهر کوچک,small_or_village
khorramabad,شهر کوچک,small_or_village
kashan,شهر کوچک,small_or_village
nowshahr,شهر کوچک,small_or_village
hashtgerd-city,شهر کوچک,small_or_village
behshahr,شهر کوچک,small_or_village
sanandaj,شهر کوچک,small_or_village
masal,شهر کوچک,small_or_village
shahin-dej,شهر کوچک,small_or_village
vahidieh,شهر کوچک,small_or_village
parand-city,شهر کوچک,small_or_village
shush,شهر کوچک,small_or_village
mobarakeh,شهر کوچک,small_or_village
neyshabur,شهر کوچک,small_or_village
kerman,شهر کوچک,small_or_village
rudehen,شهر کوچک,small_or_village
torbat-jam,شهر کوچک,small_or_village
polsefid,شهر کوچک,small_or_village
salman-shahr,شهر کوچک,small_or_village
saveh,شهر کوچک,small_or_village
shahriar-city,شهر کوچک,small_or_village
damghan,شهر کوچک,small_or_village
