city_slug,neighborhood_slug,area,total_ads,amenity_ads,amenity_ratio
rasht,charrah-golsaar,rasht / charrah-golsaar,193,17.0,0.08808290155440414
rasht,pir-kola-chay,rasht / pir-kola-chay,398,11.0,0.02763819095477387
rasht,rasht-azadegan,rasht / rasht-azadegan,112,3.0,0.026785714285714284
rasht,esmaeil-abad,rasht / esmaeil-abad,438,10.0,0.0228310502283105
rasht,golbagh-namaz,rasht / golbagh-namaz,139,3.0,0.02158273381294964
rasht,ansari,rasht / ansari,374,8.0,0.0213903743315508
rasht,golsaar,rasht / golsaar,1127,22.0,0.019520851818988466
rasht,rasht-motahari,rasht / rasht-motahari,167,3.0,0.017964071856287425
rasht,manzariyeh,rasht / manzariyeh,402,7.0,0.017412935323383085
rasht,rasht-emam-hossein,rasht / rasht-emam-hossein,365,6.0,0.01643835616438356
rasht,gilan-blvd,rasht / gilan-blvd,1091,16.0,0.01466544454628781
rasht,toushiba,rasht / toushiba,694,10.0,0.01440922190201729
rasht,gholipour,rasht / gholipour,405,4.0,0.009876543209876543
rasht,eynak,rasht / eynak,381,3.0,0.007874015748031496
rasht,pol-taleshan,rasht / pol-taleshan,1017,7.0,0.00688298918387414
