city_slug,neighborhood_slug,area,total_ads,amenity_ads,amenity_ratio
tehran,chitgar-lake,tehran / chitgar-lake,2633,2494.0,0.9472085074060007
tehran,kuhak,tehran / kuhak,661,623.0,0.9425113464447806
tehran,heravi,tehran / heravi,1792,1674.0,0.9341517857142857
tehran,kamraniyeh,tehran / kamraniyeh,463,430.0,0.9287257019438445
tehran,sharif,tehran / sharif,340,309.0,0.9088235294117647
tehran,sohanak,tehran / sohanak,470,425.0,0.9042553191489362
tehran,hesar-booali,tehran / hesar-booali,129,116.0,0.8992248062015504
isfahan,kuy-shahid-keshvari,isfahan / kuy-shahid-keshvari,237,213.0,0.8987341772151899
tehran,ozgol,tehran / ozgol,560,503.0,0.8982142857142857
tehran,velenjak,tehran / velenjak,1501,1348.0,0.8980679546968687
tehran,tehran-hosein-abad,tehran / tehran-hosein-abad,235,211.0,0.8978723404255319
tehran,zafaraniyeh,tehran / zafaraniyeh,2086,1863.0,0.8930968360498562
tehran,elahiyeh,tehran / elahiyeh,1960,1738.0,0.886734693877551
tehran,azad-shahr,tehran / azad-shahr,843,746.0,0.8849347568208779
tehran,darrous,tehran / darrous,1605,1412.0,0.8797507788161993
