column,dtype,missing_count,missing_percent,unique_count
rent_to_single,object,999981,100.0,2
cost_per_extra_person,float64,989759,98.98,218
rent_price_on_special_days,float64,989537,98.95,379
rent_price_at_weekends,float64,986449,98.64,416
rent_price_on_regular_days,float64,981932,98.19,500
extra_person_capacity,object,975991,97.6,36
property_type,object,972943,97.29,5
has_sauna,object,971521,97.15,2
has_jacuzzi,object,971272,97.13,2
has_pool,object,970610,97.06,2
regular_person_capacity,float64,970130,97.01,49
has_barbecue,object,968802,96.88,2
has_security_guard,object,968688,96.87,2
has_electricity,object,966555,96.66,2
has_gas,object,966570,96.66,2
has_water,object,966556,96.66,2
has_business_deed,object,965321,96.53,2
transformed_rent,float64,927591,92.76,589
transformed_credit,float64,927591,92.76,503
rent_type,object,896039,89.6,2
land_size,float64,813604,81.36,1659
deed_type,object,746542,74.65,5
user_type,object,711118,71.11,2
unit_per_floor,object,697717,69.77,10
total_floors_count,object,695648,69.56,47
building_direction,object,676077,67.61,5
location_radius,float64,660301,66.03,3
has_cooling_system,object,649381,64.94,6
transformable_rent,float64,648752,64.88,1311
rent_value,float64,648678,64.87,1311
transformable_credit,float64,647915,64.79,1420
credit_value,float64,647905,64.79,1421
transformable_price,object,647106,64.71,2
credit_mode,object,647006,64.7,3
rent_credit_transform,object,647015,64.7,2
rent_mode,object,647006,64.7,3
has_heating_system,object,631031,63.1,8
has_warm_water_provider,object,620500,62.05,4
floor_material,object,594016,59.4,8
has_restroom,object,593087,59.31,4
neighborhood_slug,object,562861,56.29,1188
has_balcony,object,493589,49.36,5
is_rebuilt,object,470530,47.05,2
has_elevator,object,458251,45.83,2
floor,object,458252,45.83,50
price_value,float64,431654,43.17,12943
price_mode,object,426394,42.64,3
location_longitude,float64,344392,34.44,429431
location_latitude,float64,344392,34.44,387488
has_parking,object,271844,27.18,2
has_warehouse,object,271845,27.18,2
construction_year,object,184172,18.42,34
rooms_count,object,154101,15.41,6
building_size,float64,19606,1.96,3572
title,object,54,0.01,904092
city_slug,object,2,0.0,421
cat3_slug,object,1,0.0,16
description,object,0,0.0,989449
created_at_month,object,0,0.0,46
cat2_slug,object,0,0.0,6
Unnamed: 0,int64,0,0.0,1000000
