city_slug,neighborhood_slug,ads_count,area
mashhad,elahiyehblvd,7076,mashhad / elahiyehblvd
tehran,poonak,5393,tehran / poonak
mashhad,ghasemabad,5216,mashhad / ghasemabad
tehran,saadat-abad,4686,tehran / saadat-abad
mashhad,bolvartoos,4684,mashhad / bolvartoos
karaj,gohardasht,3738,karaj / gohardasht
tehran,west-tehranpars,3575,tehran / west-tehranpars
tehran,chitgar-lake,3562,tehran / chitgar-lake
qom,pardisan-ghom,3472,qom / pardisan-ghom
tehran,jeyhoun,3189,tehran / jeyhoun
karaj,marlik,2983,karaj / marlik
tehran,sarsabil,2907,tehran / sarsabil
karaj,andishehnewcity,2844,karaj / andishehnewcity
mashhad,azadshahr,2840,mashhad / azadshahr
karaj,azimieh,2738,karaj / azimieh
tehran,kooy-e-ferdos,2721,tehran / kooy-e-ferdos
isfahan,baharestan-esfahan,2712,isfahan / baharestan-esfahan
tehran,niavaran,2549,tehran / niavaran
ahvaz,kianpars,2523,ahvaz / kianpars
tehran,south-janat-abad,2455,tehran / south-janat-abad
